Species	Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_genomes	n_skin	n_nasal	module	functional_theme	functional_theme_short
Acinetobacter higginsii	Acinetobacter	CF25	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter higginsii	Acinetobacter	CF11	1	0	0	0	0	1	1	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF19	1	1	1	13	13	1	1	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF13	1	1	1	3	3	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter higginsii	Acinetobacter	CF14	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter higginsii	Acinetobacter	CF24	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter higginsii	Acinetobacter	CF15_17	1	0	0	0	0	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter higginsii	Acinetobacter	CF15_19	1	1	1	1	1	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter higginsii	Acinetobacter	CF16	1	1	1	1	1	1	1	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter higginsii	Acinetobacter	CF17_20	1	0	0	0	0	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF17_23	1	0	0	0	0	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF18	1	1	1	1	1	1	1	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter higginsii	Acinetobacter	CF20	1	1	1	1	1	1	1	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter higginsii	Acinetobacter	CF21	1	1	1	1	1	1	1	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter higginsii	Acinetobacter	CF23	1	1	1	1	1	1	1	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter higginsii	Acinetobacter	CF26	1	0	0	0	0	1	1	0	module18	Intercellular communication signal	Communication signal
Acinetobacter johnsonii	Acinetobacter	CF0	10	10	1	2.5	2.5	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF12	10	10	1	6.7	6.7	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF8	10	10	1	2.8	2.8	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF1	10	9	0.9	0.9	1	10	10	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter johnsonii	Acinetobacter	CF3	10	9	0.9	0.9	1	10	10	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF4	10	10	1	1	1	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter johnsonii	Acinetobacter	CF7	10	4	0.4	0.4	1	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter johnsonii	Acinetobacter	CF2_10	10	10	1	1	1	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF2_4	10	10	1	1.9	1.9	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF6	10	9	0.9	0.9	1	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF5	10	10	1	1	1	10	10	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter johnsonii	Acinetobacter	CF9_12	10	0	0	0	0	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter johnsonii	Acinetobacter	CF9_9	10	10	1	1	1	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter johnsonii	Acinetobacter	CF10	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter johnsonii	Acinetobacter	CF22	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter johnsonii	Acinetobacter	CF25	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter johnsonii	Acinetobacter	CF11	10	2	0.2	0.2	1	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF19	10	10	1	7.8	7.8	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF13	10	10	1	2.9	2.9	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter johnsonii	Acinetobacter	CF14	10	9	0.9	0.9	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter johnsonii	Acinetobacter	CF24	10	10	1	1	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter johnsonii	Acinetobacter	CF15_17	10	0	0	0	0	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter johnsonii	Acinetobacter	CF15_19	10	10	1	1	1	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter johnsonii	Acinetobacter	CF16	10	10	1	1	1	10	10	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter johnsonii	Acinetobacter	CF17_20	10	0	0	0	0	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF17_23	10	0	0	0	0	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter johnsonii	Acinetobacter	CF18	10	10	1	1	1	10	10	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter johnsonii	Acinetobacter	CF20	10	10	1	1	1	10	10	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter johnsonii	Acinetobacter	CF21	10	10	1	1	1	10	10	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter johnsonii	Acinetobacter	CF23	10	10	1	1	1	10	10	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter johnsonii	Acinetobacter	CF26	10	0	0	0	0	10	10	0	module18	Intercellular communication signal	Communication signal
Acinetobacter junii	Acinetobacter	CF0	10	10	1	2	2	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF12	10	10	1	4.4	4.4	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
