MAG	body_region	Microenvironments	taxonomy_status
MET0247_bin.2	Trunk skin	moist	not_annotated
MET0247_bin.6	Trunk skin	moist	not_annotated
MET0249_bin.7_new	Scalp & auricular skin	sebaceous	not_annotated
MET0251_bin.58	Lower limb & foot skin	moist	not_annotated
MET0254_bin.7	Facial skin	sebaceous	not_annotated
MET0255_bin.10	Trunk skin	sebaceous	not_annotated
MET0258_bin.5	Facial skin	sebaceous	not_annotated
MET0259_bin.33	Upper limb & hand skin	dry	not_annotated
MET0262_bin.8	Trunk skin	sebaceous	not_annotated
MET0263_bin.4	Scalp & auricular skin	sebaceous	not_annotated
MET0266_bin.7	Scalp & auricular skin	sebaceous	not_annotated
MET0269_bin.2	Upper limb & hand skin	dry	not_annotated
MET0270_bin.13	Upper limb & hand skin	moist	not_annotated
MET0271_bin.1	Facial skin	sebaceous	not_annotated
MET0276_bin.33	Upper limb & hand skin	dry	not_annotated
MET0279_bin.2	Trunk skin	sebaceous	not_annotated
MET0280_bin.2	Scalp & auricular skin	sebaceous	not_annotated
MET0286_bin.1_new	Upper limb & hand skin	dry	not_annotated
MET0287_bin.15	Upper limb & hand skin	moist	not_annotated
MET0288_bin.1	Facial skin	sebaceous	not_annotated
MET0290_bin.4	Facial skin	sebaceous	not_annotated
MET0293_bin.25	Upper limb & hand skin	dry	not_annotated
MET0303_bin.4	Upper limb & hand skin	dry	not_annotated
MET0305_bin.3	Facial skin	sebaceous	not_annotated
MET0310_bin.3_new	Upper limb & hand skin	dry	not_annotated
MET0317_bin.3	Scalp & auricular skin	sebaceous	not_annotated
MET0321_bin.2	Trunk skin	sebaceous	not_annotated
MET0322_bin.4	Facial skin	sebaceous	not_annotated
MET0324_bin.1	Facial skin	sebaceous	not_annotated
MET0333_bin.16	Upper limb & hand skin	dry	not_annotated
MET0334_bin.5	Scalp & auricular skin	sebaceous	not_annotated
MET0351_bin.1	Facial skin	sebaceous	not_annotated
MET0353_bin.56	Upper limb & hand skin	moist	not_annotated
MET0354_bin.27	Upper limb & hand skin	dry	not_annotated
MET0371_bin.3_new	Trunk skin	sebaceous	not_annotated
MET0374_bin.1	Scalp & auricular skin	sebaceous	not_annotated
MET0418_bin.3	Trunk skin	sebaceous	not_annotated
MET0430_bin.5_new	Upper limb & hand skin	dry	not_annotated
MET0431_bin.3	Scalp & auricular skin	sebaceous	not_annotated
MET0447_bin.1	Trunk skin	sebaceous	not_annotated
MET0449_bin.1_new	Upper limb & hand skin	dry	not_annotated
MET0459_bin.1	Facial skin	sebaceous	not_annotated
MET0466_bin.2	Trunk skin	sebaceous	not_annotated
MET0484_bin.1	Facial skin	sebaceous	not_annotated
MET0497_bin.1	Facial skin	sebaceous	not_annotated
MET0500_bin.8_new	Upper limb & hand skin	moist	not_annotated
MET0503_bin.1	Facial skin	sebaceous	not_annotated
MET0576_bin.2	Upper limb & hand skin	moist	not_annotated
MET0592_bin.3	Facial skin	sebaceous	not_annotated
MET0617_bin.4	Facial skin	sebaceous	not_annotated
MET0628_bin.3	Facial skin	sebaceous	not_annotated
MET0630_bin.4_new	Facial skin	sebaceous	not_annotated
MET0636_bin.3	Facial skin	sebaceous	not_annotated
MET0639_bin.3	Upper limb & hand skin	dry	not_annotated
MET0640_bin.5	Scalp & auricular skin	sebaceous	not_annotated
MET0648_bin.1	Scalp & auricular skin	sebaceous	not_annotated
MET0658_bin.39	Upper limb & hand skin	dry	not_annotated
MET0659_bin.9	Scalp & auricular skin	sebaceous	not_annotated
MET0715_bin.4_new	Upper limb & hand skin	dry	not_annotated
MET0743_bin.4	Scalp & auricular skin	sebaceous	not_annotated
MET0750_bin.4	Facial skin	sebaceous	not_annotated
MET0762_bin.5	Scalp & auricular skin	sebaceous	not_annotated
MET0769_bin.1	Facial skin	sebaceous	not_annotated
MET0772_bin.13	Upper limb & hand skin	dry	not_annotated
SRR1950723_bin.4	Upper limb & hand skin	moist	not_annotated
SRR1950731_bin.2	Upper limb & hand skin	moist	not_annotated
SRR1950732_bin.1	Upper limb & hand skin	moist	not_annotated
SRR1950738_bin.2	Upper limb & hand skin	moist	not_annotated
SRR1950739_bin.1	Upper limb & hand skin	moist	not_annotated
SRR1950750_bin.2	Upper limb & hand skin	moist	not_annotated
SRR1950777_bin.1	Upper limb & hand skin	moist	not_annotated
SRR1950778_bin.2	Upper limb & hand skin	moist	not_annotated
1111525849475849_bin.13	Facial skin	sebaceous	hq_annotation
1111525849475974_bin.10	Facial skin	sebaceous	hq_annotation
1111525849478545_bin.27	Facial skin	sebaceous	hq_annotation
1111525849481488_bin.8	Facial skin	sebaceous	hq_annotation
1111525849638540_bin.6	Facial skin	sebaceous	hq_annotation
1111525849638565_bin.14	Facial skin	sebaceous	final_reannotation
1111525849644733_bin.14	Facial skin	sebaceous	final_reannotation
1111525849649795_bin.6	Facial skin	sebaceous	not_annotated
1111525849664398_bin.21	Facial skin	sebaceous	hq_annotation
1111525849667770_bin.27	Facial skin	sebaceous	hq_annotation
1111525849668850_bin.4	Facial skin	sebaceous	hq_annotation
1111525849670478_bin.2	Facial skin	sebaceous	not_annotated
1111525849670834_bin.4	Facial skin	sebaceous	hq_annotation
1111525849736575_bin.26	Facial skin	sebaceous	not_annotated
1111525849736655_bin.21	Facial skin	sebaceous	hq_annotation
1111525849736908_bin.4_new	Facial skin	sebaceous	hq_annotation
1111525849736979_bin.8	Facial skin	sebaceous	not_annotated
1111525849737484_bin.29	Facial skin	sebaceous	not_annotated
1111525849739510_bin.26	Facial skin	sebaceous	hq_annotation
1111525849743604_bin.2	Facial skin	sebaceous	hq_annotation
1111525849743756_bin.10	Facial skin	sebaceous	hq_annotation
1111525849752670_bin.9	Facial skin	sebaceous	hq_annotation
1111525849753200_bin.20	Facial skin	sebaceous	hq_annotation
1111525849755863_bin.3	Facial skin	sebaceous	hq_annotation
1111525849767767_bin.13	Facial skin	sebaceous	hq_annotation
1111525849771679_bin.2	Facial skin	sebaceous	hq_annotation
1111525849773237_bin.2	Facial skin	sebaceous	hq_annotation
1111525849853675_bin.24	Facial skin	sebaceous	not_annotated
1111525849858958_bin.7	Facial skin	sebaceous	hq_annotation
1111525849861727_bin.1	Facial skin	sebaceous	not_annotated
1111525849861803_bin.14	Facial skin	sebaceous	hq_annotation
1111525849861839_bin.26	Facial skin	sebaceous	hq_annotation
1111525849862995_bin.33	Facial skin	sebaceous	hq_annotation
DT2007044650-1_bin.1	Facial skin	sebaceous	not_annotated
DT2007044663-1_bin.2	Facial skin	sebaceous	hq_annotation
MET0026_bin.1	Scalp & auricular skin	sebaceous	hq_annotation
MET0239_bin.1	Scalp & auricular skin	sebaceous	hq_annotation
MET0250_bin.1	Trunk skin	sebaceous	hq_annotation
MET0256_bin.1	Facial skin	sebaceous	hq_annotation
MET0275_bin.2	Facial skin	sebaceous	hq_annotation
