phylum,CF_id,positive_species,total_species_in_phylum,percentage
Actinomycetota,CF12,16921,59430,28.472152111728082
Actinomycetota,CF13,16564,59430,27.871445397947163
Actinomycetota,CF14,14496,59430,24.391721352852095
Actinomycetota,CF15_17,15594,59430,26.23927309439677
Actinomycetota,CF16,5598,59430,9.419485108531045
Actinomycetota,CF17_20,7233,59430,12.170620898536093
Actinomycetota,CF18,10530,59430,17.718324078748108
Actinomycetota,CF19,6252,59430,10.519939424533064
Actinomycetota,CF20,13406,59430,22.557630826182063
Actinomycetota,CF21,7956,59430,13.387178192831902
Actinomycetota,CF22,3932,59430,6.616187110886758
Actinomycetota,CF23,7630,59430,12.838633686690223
Actinomycetota,CF24,15967,59430,26.866902237926972
Actinomycetota,CF25,3860,59430,6.495036177014976
Actinomycetota,CF26,2606,59430,4.384990745414774
Actinomycetota,CF2_10,6043,59430,10.16826518593303
Actinomycetota,CF2_4,9589,59430,16.134948679118292
Actinomycetota,CF3,1869,59430,3.1448763250883394
Actinomycetota,CF4,10305,59430,17.33972741039879
Actinomycetota,CF5,14021,59430,23.592461719670197
Actinomycetota,CF6,10904,59430,18.34763587413764
Actinomycetota,CF7,8477,59430,14.263839811542992
Actinomycetota,CF8,6381,59430,10.737001514386673
Actinomycetota,CF9_9,7336,59430,12.343934040047113
Aerophobota,CF12,21,30,70.0
Aerophobota,CF13,14,30,46.666666666666664
Aerophobota,CF14,12,30,40.0
Aerophobota,CF24,20,30,66.66666666666666
Aerophobota,CF6,4,30,13.333333333333334
Aerophobota,CF7,1,30,3.3333333333333335
Aquificota,CF1,1,328,0.3048780487804878
Aquificota,CF10,27,328,8.231707317073171
Aquificota,CF12,153,328,46.646341463414636
Aquificota,CF13,16,328,4.878048780487805
Aquificota,CF14,140,328,42.68292682926829
Aquificota,CF15_17,21,328,6.402439024390244
Aquificota,CF18,5,328,1.524390243902439
Aquificota,CF22,64,328,19.51219512195122
Aquificota,CF23,39,328,11.890243902439025
Aquificota,CF24,138,328,42.073170731707314
Aquificota,CF25,6,328,1.8292682926829267
Aquificota,CF26,2,328,0.6097560975609756
Aquificota,CF5,80,328,24.390243902439025
Aquificota,CF6,15,328,4.573170731707317
Arandabacterota,CF12,9,12,75.0
Arandabacterota,CF13,6,12,50.0
Arandabacterota,CF14,5,12,41.66666666666667
Arandabacterota,CF24,6,12,50.0
Arandabacterota,CF6,6,12,50.0
Arandabacterota,CF7,1,12,8.333333333333332
Armatimonadota,CF1,60,744,8.064516129032258
Armatimonadota,CF10,1,744,0.13440860215053765
